id;Наименование товара;Размеры в наличии;Цена розница, руб.;Цена оптовая, руб.;Оптовая скидка;Картинка товара на сайте Lebuto.ru;Страница товара на сайте Lebuto.ru;Цвет товара;Скидка;Состав;Детальное описание;Верхний раздел каталога;Подраздел каталога
39;Брюки Cse 2482 белый;L;700;560;33.94;https://lebuto.ru/upload/iblock/cb9/z5wt86rh26wedl297urth569f19chtr3/daa2b4da_12f4_11ed_812b_000c29cc4602_0e083388_1c5c_11ed_812b_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_cse_2482_belyy/;белый;;хлопок;;Женская одежда;Брюки и джинсы
40;Брюки Cse 2482 красный;M::L;700;560;33.94;https://lebuto.ru/upload/iblock/f17/8u7scafxt4rhiizpdgbsd6fd9d2p8qt5/34973660_12f5_11ed_812b_000c29cc4602_164cff6f_1c5c_11ed_812b_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_cse_2482_krasnyy/;красный;;хлопок;;Женская одежда;Брюки и джинсы
41;Брюки Cse 2482 св.серый;M;700;560;33.94;https://lebuto.ru/upload/iblock/a54/tz14eulk0lkrw0ua5xnbhimhxrhdnck0/0d502a43_12f5_11ed_812b_000c29cc4602_1a474c30_1c5c_11ed_812b_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_cse_2482_sv_seryy/;св.серый;;хлопок;;Женская одежда;Брюки и джинсы
42;Брюки Cse 2482 черный;M::L;700;560;33.94;https://lebuto.ru/upload/iblock/27e/9euwz3frwt3fes4z8oy76l2tsb3bftki/557b9f3d_12f5_11ed_812b_000c29cc4602_26c0e1f8_1c5c_11ed_812b_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_cse_2482_chernyy/;Черный;;хлопок;;Женская одежда;Брюки и джинсы
43;Брюки GS M`S PT 818 col: милитари;XL::M;2900;2320;41.85;https://lebuto.ru/upload/iblock/c75/1c0d4bdf_d5eb_11e9_80dc_000c29cc4602_b87f9982_e042_11e9_80dd_000c29cc4602.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_gornolyzhnye/bryuki_gsou_snow_m_s_pt_818_col_militari/;хаки;;верх: 100% нейлон, подклад: 100% полиэстер (флис), наполнитель: 100% полиэстер;;Мужская одежда;Брюки горнолыжные
44;Брюки GS M`S PT 818 Col.BLU;XL;2900;2320;41.85;https://lebuto.ru/upload/iblock/e10/e101d4f7f77fc71b482c9554ec709220.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_gornolyzhnye/bryuki_gsou_snow_m_s_pt_818_col_blu/;голубой;;Материал верха: 100% полиэстер, подклад: 100% полиэстер, отделка: 100% полиэстер.;;Мужская одежда;Брюки горнолыжные
45;Брюки GS M`S PT 818 color: CBL;S::L::XL::M;2900;2320;41.85;https://lebuto.ru/upload/iblock/384/776c102f_5a09_11eb_80eb_000c29cc4602_8f18040f_6cf3_11eb_80eb_000c29cc4602.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_gornolyzhnye/bryuki_gsou_snow_m_s_pt_818_color_cbl/;бирюзовый;;верх: 100% полиэстер, наполнитель: 100% полиэстер, подклад: 100% полиэстер;;Мужская одежда;Брюки горнолыжные
46;Брюки HE 402 Deep blue;98;1320;1056;20;https://lebuto.ru/upload/iblock/f18/0cb113a9_d028_11e7_9fe4_000c29cc4602_a4d5b407_84c7_11e8_9f15_000c29cc4602.jpeg;https://lebuto.ru/catalog/malchikam_1/bryuki_2/bryuki_high_experience_402_deep_blue/;темно-синий;;верх: 100% нейлон, подклад: 100% полиэстер (флис), наполнитель: 100% полиэстер;;Мальчикам;Брюки
47;Брюки HE HKTG6716 Black;98;1500;1199;20.июль;https://lebuto.ru/upload/iblock/d41/65346f1c_dbf8_11e8_abe6_000c29cc4602_1fc912ae_f935_11e8_bdcd_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/bryuki_3/bryuki_high_experience_hktg6716_black/;Черный;;верх: 100% полиэстер, подклад: флис (100% полиэстер), наполнитель: 100% полиэстер;;Девочкам;Брюки
48;Брюки HE HKTG6716 Deep blue;98;1500;1199;20.июль;https://lebuto.ru/upload/iblock/ea0/b52355dc_dbf8_11e8_abe6_000c29cc4602_302dc902_f935_11e8_bdcd_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/bryuki_3/bryuki_high_experience_hktg6716_deep_blue/;темно-синий;;верх: 100% полиэстер, подклад: флис (100% полиэстер), наполнитель: 100% полиэстер;;Девочкам;Брюки
49;Брюки L.A. 225091 черный;M::L::XL::2XL;800;640;0;https://lebuto.ru/upload/iblock/050/j3j2fz5qne549npf8ci90rgfywzlovib/49025014_50d9_11ec_8101_000c29cc4602_885a7c4a_5113_11ec_8101_000c29cc4602.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_l_a_225091_chernyy/;Черный;;100% полиэстер;;Мужская одежда;Брюки спортивные
50;Брюки L.L. 8136 бледно-розовый;2XL::3XL;500;400;26.67;https://lebuto.ru/upload/iblock/0f7/nk24gbxj92x9vp31kuuu8fnyd000pwsa/72489bbe_b63f_11ec_811f_000c29cc4602_adf900a0_b7dd_11ec_811f_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_l_l_8136_bledno_rozovyy/;св.розовый;;хлопок;;Женская одежда;Брюки и джинсы
51;Брюки MAYSON 1231-1 белый;M;400;320;25;https://lebuto.ru/upload/iblock/075/fece7969_7094_11e9_80d3_000c29cc4602_61bd0523_7620_11e9_80d3_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_mayson_1231_1_belyy/;белый;;хлопок;;Женская одежда;Брюки и джинсы
52;Брюки MR 53064 св.розовый;36::38::40;1500;1200;20;https://lebuto.ru/upload/iblock/5c1/115a1099_606c_11eb_80eb_000c29cc4602_45ad232e_8ae1_11eb_80ed_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_moncler_53064_sv_rozovyy/;св.розовый;;71% хлопок 23% полиэстер, 6% эластан;;Женская одежда;Брюки и джинсы
53;Брюки N 83036 св.серый;XL::2XL::4XL::5XL;800;640;;https://lebuto.ru/upload/iblock/e81/2bpk2y7hrtic0pwtrcodk1l3i2v2csow/4d4f811a_1aed_11ee_8130_000c29cc4602_0c1ced56_ec0f_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_n_83036_sv_seryy/;св.серый;;95% хлопок 5% спандекс;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на трикотажной резинке.Объем пояса регулируется шнурком. Два боковых кармана на молнии.;Мужская одежда;Брюки спортивные
54;Брюки N 83036 черный;XL::5XL::2XL::3XL::4XL;800;640;;https://lebuto.ru/upload/iblock/5e0/choay536w38hu27autskb1a95doljkbm/ea8d4b62_1aec_11ee_8130_000c29cc4602_603da6db_ec0f_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_n_83036_chernyy/;Черный;;95% хлопок 5% спандекс;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на трикотажной резинке.Объем пояса регулируется шнурком. Два боковых кармана на молнии.;Мужская одежда;Брюки спортивные
55;Брюки N 99366 св.серый;M;800;640;24.39;https://lebuto.ru/upload/iblock/a48/f7787d11_ee7f_11ea_80e9_000c29cc4602_de3d001a_f305_11ea_80e9_000c29cc4602.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_n_99366_sv_seryy/;св.серый;;50% хлопок, 50% полиэстер;;Мужская одежда;Брюки спортивные
56;Брюки N K202381 черный;XL::2XL::3XL;700;560;;https://lebuto.ru/upload/iblock/33e/lhd18dgpucutpdxoq3bbce1dy96vfiub/922e941c_1af9_11ee_8130_000c29cc4602_e7ab36d7_ec13_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_sportivnye_1/bryuki_n_k202381_chernyy/;Черный;;100% полиэстер;Брюки выполнены из плотного трикотажа. Пояс и манжеты на резинке. Объем пояса регулируется шнурком. Три кармана.;Женская одежда;Брюки спортивные
57;Брюки O-W 18276 оранжевый;M;800;640;24.39;https://lebuto.ru/upload/iblock/efe/1b177eb4_ee81_11ea_80e9_000c29cc4602_07173ed8_f304_11ea_80e9_000c29cc4602.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_o_w_18276_oranzhevyy/;оранжевый;;хлопок, полиэстер;;Мужская одежда;Брюки спортивные
58;Брюки QR 09241черн.;S::L::XL;1500;990;20;https://lebuto.ru/upload/iblock/a72/a7262484853c703ca284ae1f9f885a78.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_gornolyzhnye/bryuki_quiksilver_09241chern/;Черный;;верх: 100% полиэстер, подклад: 100% полиэстер, наполнитель: 100% полиэстер;;Мужская одежда;Брюки горнолыжные
59;Брюки QR JQPT060-BLK;L::S::M::XL;900;690;20.февр;https://lebuto.ru/upload/iblock/028/d577d110_b7e2_11e3_9ffd_000c29cc46f8_f0ee9087_ae3e_11eb_80ed_000c29cc4602.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_gornolyzhnye/bryuki_quiksilver_jqpt060_blk/;Черный;;верх: 100% полиэстер, подклад: 100% полиэстер, наполнитель: 100% полиэстер;;Мужская одежда;Брюки горнолыжные
60;Брюки QR JQPT060-GRY.;M;900;690;20.февр;https://lebuto.ru/upload/iblock/b7f/b7fe49fd76c4e6200fba8ad51540ee2b.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_gornolyzhnye/bryuki_quiksilver_jqpt060_gry/;Серый;;верх: 100% полиэстер, подклад: 100% полиэстер, наполнитель: 100% полиэстер;;Мужская одежда;Брюки горнолыжные
61;Брюки QR JQPT060-SMK;M;900;690;20.февр;https://lebuto.ru/upload/iblock/dfb/dfb35711f398d9b8351866a4b2027150.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_gornolyzhnye/bryuki_quiksilver_jqpt060_smk/;Серый;;верх: 100% полиэстер, подклад: 100% полиэстер, наполнитель: 100% полиэстер;;Мужская одежда;Брюки горнолыжные
62;Брюки S.M.N. SMN-1820 col: BLK;L::XS::XL;2900;2320;27.89;https://lebuto.ru/upload/iblock/9c4/f8fe785e_2a39_11eb_80e9_000c29cc4602_28ba6599_2fb5_11eb_80e9_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_gornolyzhnye_2/bryuki_s_m_n_smn_1820_col_blk/;Черный;;верх: 100% полиэстер, подклад: 100% полиэстер, наполнитель: 100% полиэстер;;Женская одежда;Брюки горнолыжные
63;Брюки S.M.N. SMN-1820 col: CBL;XL;2900;2320;34.65;https://lebuto.ru/upload/iblock/32b/a19145dd_2a39_11eb_80e9_000c29cc4602_5d2dc56a_2fb8_11eb_80e9_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_gornolyzhnye_2/bryuki_s_m_n_smn_1820_col_cbl/;голубой;;верх: 100% полиэстер, наполнитель: 100% полиэстер, подклад: 100% полиэстер;;Женская одежда;Брюки горнолыжные
64;Брюки S.M.N. SMN-1820 col: PNK;XS::M::XL;2900;2320;27.89;https://lebuto.ru/upload/iblock/685/dc3ff998_2a38_11eb_80e9_000c29cc4602_0537b2c9_2fb8_11eb_80e9_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_gornolyzhnye_2/bryuki_s_m_n_smn_1820_col_pnk/;розовый;;верх: 100% полиэстер, наполнитель: 100% полиэстер, подклад: 100% полиэстер;;Женская одежда;Брюки горнолыжные
65;Брюки S.M.N. SMN-1820 col: PRP;S::XS::XL;2900;2320;27.89;https://lebuto.ru/upload/iblock/382/6bb17012_2a39_11eb_80e9_000c29cc4602_30d88ca4_2fb8_11eb_80e9_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_gornolyzhnye_2/bryuki_s_m_n_smn_1820_col_prp/;фиолетовый;;верх: 100% полиэстер, наполнитель: 100% полиэстер, подклад: 100% полиэстер;;Женская одежда;Брюки горнолыжные
66;Брюки S.M.N. SMN-1820 col: WHT;XL;2900;2320;34.65;https://lebuto.ru/upload/iblock/801/1eba2956_2a39_11eb_80e9_000c29cc4602_813c7e77_2fb8_11eb_80e9_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_gornolyzhnye_2/bryuki_s_m_n_smn_1820_col_wht/;белый;;верх: 100% полиэстер, подклад: 100% полиэстер, наполнитель: 100% полиэстер;;Женская одежда;Брюки горнолыжные
67;Брюки SPEED BOBO 53091 зеленый;M::L;500;400;20.83;https://lebuto.ru/upload/iblock/f82/27e5ffb7_afa4_11ea_80e8_000c29cc4602_abc01a92_bab3_11ea_80e9_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_speed_bobo_53091_zelenyy/;зеленый;;95% хлопок, 5% полиэстер;;Женская одежда;Брюки и джинсы
68;Брюки SPEED BOBO 53091 оранжевый;M::L;500;400;20.83;https://lebuto.ru/upload/iblock/ff7/64715eb7_afa5_11ea_80e8_000c29cc4602_623564cf_9773_11eb_80ed_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_speed_bobo_53091_oranzhevyy/;оранжевый;;95% хлопок, 5% полиэстер;;Женская одежда;Брюки и джинсы
69;Брюки SPEED BOBO 53091 розовый;L;500;400;20.83;https://lebuto.ru/upload/iblock/c4d/d8778f7a_afa4_11ea_80e8_000c29cc4602_bc1c4517_bab3_11ea_80e9_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_speed_bobo_53091_rozovyy/;розовый;;95% хлопок, 5% полиэстер;;Женская одежда;Брюки и джинсы
70;Брюки TNF 07 черный;;900;720;;https://lebuto.ru/upload/iblock/e4c/r18eoudb8mqghqm2svn43a3sulislrtn/bbd53803_0075_11ef_8146_000c29cc4602_a5296aa0_b796_11ef_816a_000c29cc4602.jpg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_tnf_07_chernyy/;Черный;;хлопок;Брюки виндстопер.;Женская одежда;Брюки и джинсы
71;Брюки TNF 26040 black;XL::M::L::2XL::3XL::4XL;900;700;;https://lebuto.ru/upload/iblock/2c8/z686820ivehlm44yhnlo7rgof39ovp73/d587cd11_1ae6_11ee_8130_000c29cc4602_6c1836d8_ec0e_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_tnf_26040_black/;Черный;;76,8% хлопок 19%полиэстер 4,2% спандекс;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на резинке.Объем пояса регулируется шнурком. Три кармана.;Мужская одежда;Брюки спортивные
72;Брюки TNF 26040 бежевый;XL::M::L::2XL::3XL::4XL;900;700;;https://lebuto.ru/upload/iblock/02b/v81zkrsm4tj9a92gipkt3nn2v532f2nf/3e014027_1ae7_11ee_8130_000c29cc4602_dff72747_ec07_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_tnf_26040_bezhevyy/;бежевый;;76,8% хлопок 19%полиэстер 4,2% спандекс;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на резинке.Объем пояса регулируется шнурком. Три кармана.;Мужская одежда;Брюки спортивные
73;Брюки TNF 26040 св.серый;XL::M::L::2XL::3XL::4XL;900;700;;https://lebuto.ru/upload/iblock/b90/xnji82feq30dvxd5li9z5q8445b2w19j/849c079b_1ae7_11ee_8130_000c29cc4602_428fb409_ec08_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_tnf_26040_sv_seryy/;св.серый;;76,8% хлопок 19%полиэстер 4,2% спандекс;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на резинке.Объем пояса регулируется шнурком. Три кармана.;Мужская одежда;Брюки спортивные
74;Брюки UA 62386 св.серый;XL::2XL::3XL::4XL::5XL;800;640;;https://lebuto.ru/upload/iblock/384/umbmr1nxr39t5tll36x4d1sqzsrmareq/7fec4d99_1af6_11ee_8130_000c29cc4602_762c40ab_ec11_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_ua_62386_sv_seryy/;св.серый;;70% хлопок, 25% полиэстер, 5% спандекс;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на резинке.Объем пояса регулируется шнурком. Три кармана.;Мужская одежда;Брюки спортивные
75;Брюки UA 62386 черный;XL::5XL::2XL::3XL::4XL;800;560;;https://lebuto.ru/upload/iblock/4bb/n3mvsn0z3ypojcf3ags2lctwjvynutwz/22c1c1b4_1af6_11ee_8130_000c29cc4602_030d6661_ec12_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_ua_62386_chernyy/;Черный;;70% хлопок 25% полиэстер 5% спандекс;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на резинке.Объем пояса регулируется шнурком. Три кармана.;Мужская одежда;Брюки спортивные
